Username,Content,Location,Created at
pollyinmyp0cket,angkat tangan yang udah capek sama ptm,,2022-07-27 00:17:46+00:00
queenavies,jujur hari ini aku gaada mood buat ptm😭😭😭,,2022-07-26 23:54:17+00:00
macflourie,"orang lain yg ptm gue yang seneng, sampai jumpa",‘25,2022-07-27 00:17:46+00:01
xjazyz,lebih enak ptm,,2022-07-26 23:54:17+00:01
studynaxx,kangen pembelajaan tatap muka banget,,2022-07-27 00:17:46+00:02
smileyyysunn,takut ptm soalnya masih pandemi,,2022-07-26 23:54:17+00:02
ruthooni,demi apa ptm kan masih covid,,2022-07-27 00:17:46+00:03
ksj1boobs,gak sabar masuk ptm,,2022-07-26 23:54:17+00:03
