Username,Content,Location,Created at
hintguy,"kelas yg muridnya kena covid pjj, sedangkan kelas yg muridnya belum ada yg kenak covid masih tetep ptm... kenapa gk di sama ratain aja si??",jisoo heart ,2022-08-01 23:57:57+00:00
hereissun,belum tau covid atau bukan tapi lgsg disuruh pjj,,2022-08-01 23:41:07+00:00
OxAugust_1st,"sekolahku demam 2 orang, covid…",,2022-08-01 23:40:08+00:00
ljndracs, gua udah ptm 100% lagi padahal daerah sekolahan banyak yg kontak erat sama yg kena omicron,,2022-08-01 23:39:44+00:00
Lyaxh_,"omicron naik, yang salah siapa? sekolah, kembali lagi ke ptm",,2022-08-01 23:31:19+00:00
